runid,date,model,hidden_dim,algorithm,dataset,epochs,last 01 train accuracy,01 test accuracy,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,orig 28x28,ts,te,zo_only,last CE train loss,last CE test loss,env0 01 train acc,env1 01 train acc
bqpjap2f,2024-09-06 14:58:21,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5411000130176544,0.5270000100135803,-2.2535340785980225,0.6315000070333481,0.7120000123977661,0.5411000130176544,0.5270000100135803,3.0,2.9461612701416016,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
1r7kax4h,2024-09-06 15:01:08,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5000000117719173,0.5,-3.054323196411133,0.6626000228524208,0.6240000128746033,0.5000000117719173,0.5,5.0,5.0656585693359375,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
s7waqt0n,2024-09-06 15:03:42,resnet18,390,pgd-IRMv1,mnistcifar,50,0.48480001160502434,0.3450000286102295,-2.282313346862793,0.6095000122785568,0.6620000600814819,0.48480001160502434,0.3450000286102295,7.0,6.947922229766846,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
oe9kzqg8,2024-09-06 15:06:13,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5511000149846077,0.5160000324249268,-2.1058926582336426,0.6775000246167183,0.6940000057220459,0.5511000149846077,0.5160000324249268,9.0,8.167259216308594,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
bq24aa3p,2024-09-06 15:08:58,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5381000106930732,0.5350000262260437,-2.924999713897705,0.6467000194191933,0.6680000424385071,0.5381000106930732,0.5350000262260437,11.0,11.026636123657227,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
g9mnb4gu,2024-09-06 15:11:49,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5002000104486942,0.687000036239624,-2.9295971393585205,0.6109000098705292,0.6800000071525574,0.5002000104486942,0.687000036239624,13.0,13.341789245605469,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
vggvjbhw,2024-09-06 15:14:27,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5000000124871731,0.5,-2.2449300289154053,0.6545000178813934,0.6200000047683716,0.5000000124871731,0.5,15.0,13.961698532104492,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
i7ypqgbk,2024-09-06 15:17:18,resnet18,390,pgd-IRMv1,mnistcifar,50,0.47080000603199007,0.4320000112056732,-3.0092194080352783,0.6969000319242478,0.6780000329017639,0.47080000603199007,0.4320000112056732,17.0,17.069019317626953,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
5jak5c9i,2024-09-06 15:19:51,resnet18,390,pgd-IRMv1,mnistcifar,50,0.49820000761747363,0.5250000357627869,-2.165811538696289,0.7215000303983689,0.6650000214576721,0.49820000761747363,0.5250000357627869,19.0,16.908138275146484,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
7txqwdfs,2024-09-06 15:22:22,resnet18,390,pgd-IRMv1,mnistcifar,50,0.45270000594854354,0.7640000581741333,-2.1319429874420166,0.6794000270962716,0.7350000143051147,0.45270000594854354,0.7640000581741333,21.0,17.75323486328125,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
0zj2texy,2024-09-06 15:27:17,resnet18,390,pgd-IRMv1,mnistcifar,50,0.504500011563301,0.5,-2.247098207473755,0.6924000355005264,0.64000004529953,0.504500011563301,0.5,13.0,12.201704978942871,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
2xucv1sf,2024-09-06 15:29:47,resnet18,390,pgd-IRMv1,mnistcifar,50,0.478000009894371,0.6110000014305115,-2.1074650287628174,0.7005000299811364,0.6690000295639038,0.478000009894371,0.6110000014305115,13.0,10.341172218322754,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
630tnm71,2024-09-06 15:32:17,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5187000159621239,0.5460000038146973,-2.047682285308838,0.6836000266075134,0.6660000085830688,0.5187000159621239,0.5460000038146973,13.0,12.487553596496582,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
pyg44me9,2024-09-06 15:35:12,resnet18,390,pgd-IRMv1,mnistcifar,50,0.4818000096976757,0.5430000424385071,-3.0930652618408203,0.6109000086784363,0.6520000100135803,0.4818000096976757,0.5430000424385071,13.0,13.201347351074219,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
u4s1ot1a,2024-09-06 15:38:09,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5291000148057937,0.5610000491142273,-3.056408166885376,0.671500026345253,0.7230000495910645,0.5291000148057937,0.5610000491142273,13.0,13.129011154174805,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
4nnjoz2i,2024-09-06 15:40:50,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5590000140666962,0.4390000104904175,-2.2176198959350586,0.8598000277280807,0.39400002360343933,0.5590000140666962,0.4390000104904175,13.0,12.247686386108398,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
phwcld8f,2024-09-06 15:43:25,resnet18,390,pgd-IRMv1,mnistcifar,50,0.45000000470876694,0.531000018119812,-2.239165782928467,0.639200012743473,0.6320000290870667,0.45000000470876694,0.531000018119812,13.0,12.103875160217285,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
12p69t22,2024-09-06 15:45:55,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5430000106096268,0.5010000467300415,-2.150336503982544,0.6668000254631042,0.5950000286102295,0.5430000106096268,0.5010000467300415,13.0,12.11896800994873,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
o1qo5g0h,2024-09-06 15:48:44,resnet18,390,pgd-IRMv1,mnistcifar,50,0.46350000604987146,0.4570000171661377,-3.040844678878784,0.6578000166416168,0.6080000400543213,0.46350000604987146,0.4570000171661377,13.0,13.296234130859375,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
zatx2lzz,2024-09-06 15:51:23,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5300000115931034,0.5190000534057617,-2.319877862930298,0.602200012922287,0.6880000233650208,0.5300000115931034,0.5190000534057617,13.0,12.421506881713867,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
7kgrhddh,2024-09-07 11:39:04,resnet18,390,pgd-IRMv1,mnistcifar,50,0.5260000104308128,0.4910000264644623,-3.001023292541504,0.6242000126242637,0.7050000429153442,0.5260000104308128,0.4910000264644623,15.0,15.213300704956055,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
jx2se145,2024-09-07 11:41:47,resnet18,390,pgd-IRMv1,mnistcifar,50,0.4752000077962875,0.5240000486373901,-3.0446512699127197,0.730000031709671,0.6910000443458557,0.4752000077962875,0.5240000486373901,15.0,15.066673278808594,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
8g28k11d,2024-09-07 11:44:27,resnet18,390,pgd-IRMv1,mnistcifar,50,0.4862000081539154,0.4700000286102295,-2.1912002563476562,0.8269000270366669,0.581000030040741,0.4862000081539154,0.4700000286102295,15.0,12.554336547851562,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
fokw6foa,2024-09-07 11:47:16,resnet18,390,pgd-IRMv1,mnistcifar,50,0.513500015348196,0.5020000338554382,-3.039355993270874,0.7632000303268432,0.6910000443458557,0.513500015348196,0.5020000338554382,15.0,15.395566940307617,0.0006,adam,None,0.0,10000.0,400,False,0.28,0.6,False,n/a,n/a,n/a,n/a
